Regulator,z.score
CTNNB1,-5.585
ERG,-4.749
FAS,1.784
HNF4A,-0.775
Ige,-3.345
IKZF1,2.743
MMP3,-0.574
MYC,-3.892
TGFB1,-5.467
TWIST1,-1.566
CD24,-2.587
CD3,-4.212
CREB1,-0.381
EZH2,1.388
Firre,-3.024
GATA1,-1.094
GFI1,0.613
GLI3,-0.259
HDAC4,-0.587
HNRNPA2B1, 
ID2,1.869
ITGB1,0.414
LRP1,0
MIR124,0.098
PTP4A1,-0.76
REL,-4.157
RUNX3,4.038
SNCA,1.126
SOX4,-4.427
Tgf beta,-5.589
