Regulator,Fibrosis,Infection,Color
ERG,-4.749,-5.084,A
TGFB1,-5.467,-4.845,B
CTNNB1,-5.585,-4.477,B
Ige,-3.345,-3.654,A
TWIST1,-1.566,-1.984,A
MYC,-3.892,-0.957,B
HNF4A,-0.775,1.152,B
MMP3,-0.574,1.4,B
IKZF1,2.743,1.433,A
FAS,1.784,2.239,B
