Regulator,z.score
TWIST1,-1.984
TGFB1,-4.845
MYC,-0.957
MMP3,1.4
IKZF1,1.433
Ige,-3.654
HNF4A,1.152
FAS,2.239
ERG,-5.084
CTNNB1,-4.477
TFEB,0.822
TCR,-0.821
TCF3,-0.813
TAL1,1.741
SP3,-1.755
SP1,-2.531
SDCBP,-1.593
PTP4A1,-0.649
PSMB9,-0.152
PRL,0.763
PPP3CA,-1.131
OSM,-0.963
NFKBIA,-2.371
IL4,-1.371
HGF,-2.157
FN1,-1.93
26s Proteasome,0.626
